,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,5,3,7,0,0,2
ALMI,2,8,4,0,1,1
ASMI,4,6,11,5,1,0
IMI,0,1,5,14,5,4
ILMI,0,0,3,10,9,1
HC,0,0,2,6,1,43
