,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,3,1,11,0,0,2
ALMI,1,4,8,1,2,0
ASMI,3,3,18,2,0,1
IMI,0,0,5,16,5,3
ILMI,1,1,3,11,5,2
HC,1,0,1,13,2,35
