,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,2,5,6,1,1,2
ALMI,2,5,5,3,1,0
ASMI,4,8,10,4,1,0
IMI,0,3,3,11,9,3
ILMI,0,0,3,8,9,3
HC,1,1,1,8,8,33
