,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,3,1,10,0,0,3
ALMI,0,5,9,2,0,0
ASMI,6,3,15,1,1,1
IMI,0,0,5,14,7,3
ILMI,1,1,3,9,6,3
HC,3,0,0,12,2,35
