,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,0,1,10,3,0,3
ALMI,0,3,8,1,1,3
ASMI,7,6,7,3,3,1
IMI,1,0,7,11,6,4
ILMI,1,2,2,11,6,1
HC,1,3,3,11,3,31
