,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,1,4,5,3,2,2
ALMI,2,8,5,0,1,0
ASMI,5,7,4,6,4,1
IMI,0,1,8,14,3,3
ILMI,2,3,3,7,5,3
HC,2,0,5,9,6,30
