,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,3,1,10,1,0,2
ALMI,2,7,5,0,1,1
ASMI,4,5,13,3,1,1
IMI,0,1,4,15,5,4
ILMI,0,0,3,11,8,1
HC,0,0,2,7,1,42
