,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,2,2,5,0,2,6
ALMI,3,2,4,3,4,0
ASMI,3,4,11,6,2,1
IMI,0,1,7,11,7,3
ILMI,0,0,3,10,8,2
HC,6,2,7,8,5,24
