,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,3,4,6,1,0,3
ALMI,3,2,9,1,0,1
ASMI,6,5,11,2,2,1
IMI,0,1,3,14,7,4
ILMI,1,1,1,13,5,2
HC,1,0,0,11,2,38
