,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,2,0,11,0,1,3
ALMI,0,4,9,2,0,1
ASMI,6,4,14,1,1,1
IMI,0,0,5,13,8,3
ILMI,1,1,3,9,6,3
HC,3,0,0,11,3,35
