,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,3,1,10,0,0,3
ALMI,1,5,8,2,0,0
ASMI,8,2,14,1,1,1
IMI,0,0,5,15,6,3
ILMI,0,1,4,9,6,3
HC,2,0,0,11,3,36
