,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,3,1,11,0,0,2
ALMI,0,5,8,1,2,0
ASMI,10,1,13,1,1,1
IMI,0,0,5,14,7,3
ILMI,1,1,3,7,8,3
HC,2,0,0,12,2,36
