,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,1,0,4,7,3,4
ALMI,0,0,3,0,1,1
ASMI,9,8,34,16,10,27
IMI,3,5,10,49,24,63
ILMI,1,5,1,11,2,4
HC,8,7,23,170,50,528
