,AMI,ALMI,ASMI,ASLMI,IMI,ILMI,IPMI,IPLMI,LMI,PMI,PLMI,HC
AMI,6250,9,53,0,17,2,0,0,0,0,0,2
ALMI,8,6700,82,0,17,10,0,2,0,1,0,7
ASMI,3,26,11413,0,35,1,0,1,0,0,0,10
ASLMI,0,4,4,263,0,0,0,0,0,0,0,0
IMI,1,5,22,0,12372,5,0,0,0,0,0,5
ILMI,5,5,32,0,35,7969,0,1,0,0,0,2
IPMI,0,0,0,0,2,0,47,0,0,0,0,0
IPLMI,0,2,4,0,57,13,0,2609,0,0,0,1
LMI,0,0,0,0,1,1,0,0,442,0,0,0
PMI,0,0,0,0,0,0,0,0,0,429,0,0
PLMI,0,1,3,0,3,0,0,0,0,0,758,0
HC,0,1,2,0,17,3,0,0,0,0,0,10732
