,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,5,2,7,0,0,3
ALMI,4,8,3,1,0,0
ASMI,7,6,10,2,0,2
IMI,0,1,6,8,4,10
ILMI,0,3,3,8,8,1
HC,0,2,3,8,0,39
