,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,4,1,7,3,2,0
ALMI,5,7,3,1,0,0
ASMI,3,6,13,4,0,1
IMI,1,1,4,13,8,2
ILMI,1,0,1,10,11,0
HC,1,1,0,9,4,37
