,AMI,ALMI,ASMI,IMI,ILMI,HC
AMI,5,3,7,0,0,2
ALMI,2,8,4,0,1,1
ASMI,4,7,9,5,2,0
IMI,0,0,5,14,5,5
ILMI,0,0,4,10,9,0
HC,0,0,1,9,1,41
